| hostname | job_id| fail_time           | category | reason | description                      | text     | jf_id   | nodes
| titan    |2210433| 2015-01-01 10:05:59 | software | system | GPU XID                          | Node c12-6c1s6n1 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|716275|c12-6c1s6n1
| titan    |2210433| 2015-01-01 10:05:59 | hardware | system | GPU DBE                          | Node c12-6c1s6n1 GPU DBE on GPU 00 01 00|716272|c12-6c1s6n1
| titan    |2210433| 2015-01-01 10:06:00 | hardware | system | GPU DPR                          | Node c12-6c1s6n1 GPU DPR on Page 00000000000c9e34|716323|c12-6c1s6n1
| titan    |2211879| 2015-01-02 15:50:06 | software | system | GPU XID                          | Node c8-1c0s3n3 GPU Xid 13 Graphics Engine Exception|716335|c8-1c0s3n3
| titan    |2211188| 2015-01-02 17:55:46 | hardware | system | Machine Check Exception          | Node c24-7c1s7n0 Core 0 Machine Check Exception Bank 4 Status f300000200190127 Addr 0000000000000000 Socket 0|736840|c24-7c1s7n0
| titan    |2207187| 2015-01-03 04:42:16 | hardware | system | GPU DPR                          | Node c23-5c1s0n2 GPU DPR on Page 00000000000290dc|736846|c23-5c1s0n2
| titan    |2207962| 2015-01-08 02:02:08 | hardware | system | Machine Check Exception          | Node c22-6c1s7n3 Core 14 Machine Check Exception Bank 2 Status be0040f00010010a Addr 0000000000003e00 Socket 0|738874|c22-6c1s7n3
| titan    |2218007| 2015-01-08 20:14:17 | software | system | GPU XID                          | Node c9-2c2s1n2 GPU Xid 13 Graphics Engine Exception|739447|c9-2c2s1n2
| titan    |2217464| 2015-01-09 14:48:26 | hardware | system | Machine Check Exception          | Node c7-5c0s6n3 MCE Threshold CPU 8|739528|c7-5c0s6n3
| titan    |2218976| 2015-01-10 03:19:39 | software | system | GPU XID                          | Node c8-1c0s6n0 GPU Xid 13 Graphics Engine Exception|739567|c8-1c0s6n0
| titan    |2218978| 2015-01-10 03:50:42 | software | system | GPU XID                          | Node c6-2c0s1n1 GPU Xid 13 Graphics Engine Exception|739573|c6-2c0s1n1
| titan    |2207959| 2015-01-10 05:04:12 | hardware | system | GPU DPR                          | Node c13-4c2s2n2 GPU DPR on Page 00000000000394b0|739582|c13-4c2s2n2
| titan    |2219091| 2015-01-10 14:04:27 | software | system | GPU XID                          | Node c9-2c2s1n2 GPU Xid 13 Graphics Engine Exception|739591|c9-2c2s1n2
| titan    |2219092| 2015-01-10 14:07:05 | hardware | system | GPU DPR                          | Node c13-4c2s0n0 GPU DPR on Page 0000000000020df7|739594|c13-4c2s0n0
| titan    |2216657| 2015-01-10 16:00:51 | software | system | GPU XID                          | Node c9-2c2s1n2 GPU Xid 13 Graphics Engine Exception|739597|c9-2c2s1n2
| titan    |2207961| 2015-01-12 01:05:54 | hardware | system | Machine Check Exception          | Node c0-5c0s2n1 Core 8 Machine Check Exception Bank 4 Status fa000020000d0c03 Addr 0000000000000000 Socket 0|739612|c0-5c0s2n1
| titan    |2220574| 2015-01-12 22:17:14 | software | system | Kernel Panic                     | apinit:  oom_kill_task: killing invalid task|739663|c0-5c0s2n1
| titan    |2220607| 2015-01-13 09:18:56 | software | system | Kernel Panic                     | kgnilnd_sd_00:  Fatal exception|739720|c0-5c0s2n1
| titan    |2219384| 2015-01-13 12:51:13 | software | system | Kernel Panic                     | swapper:  Debug NMI|739738|c0-5c0s2n1
| titan    |2221700| 2015-01-13 12:51:45 | software | system | Kernel Panic                     | swapper:  Debug NMI|739741|c0-5c0s2n1
| titan    |2222043| 2015-01-13 14:04:13 | software | system | Kernel Panic                     | swapper:  Debug NMI|739744|c0-5c0s2n1
| titan    |2222044| 2015-01-13 14:08:30 | software | system | Kernel Panic                     | swapper:  Debug NMI|739747|c0-5c0s2n1
| titan    |2220661| 2015-01-13 16:27:22 | software | system | GPU XID                          | Node c8-6c0s7n2 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|739762|c8-6c0s7n2
| titan    |2220661| 2015-01-13 16:27:22 | hardware | system | GPU DBE                          | Node c8-6c0s7n2 GPU DBE on GPU 00 00 00|739759|c8-6c0s7n2
